"","Chrom","pOXA-48","pKP112","pOXA-48_30715","pOXA-48_k8"
"854","Algoriphagus_machipongonensis_",19,19,0,0
"2767","Algoriphagus_machipongonensis_",19,19,0,0
"1484","Alicycliphilus_denitrificans_BC_",34,100,0,26
"3397","Alicycliphilus_denitrificans_BC_",34,100,0,26
"1485","Alicycliphilus_denitrificans_K601_",34,34,0,29
"3398","Alicycliphilus_denitrificans_K601_",34,34,0,29
"1221","Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446_",0,0,0,25
"3134","Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446_",0,0,0,25
"671","Aliivibrio_salmonicida_LFI1238_",120,123,56,75
"2584","Aliivibrio_salmonicida_LFI1238_",120,123,56,75
"1035","Alistipes_putredinis_DSM_17216_",37,37,24,0
"2948","Alistipes_putredinis_DSM_17216_",37,37,24,0
"322","Alkalilimnicola_ehrlichii_MLHE-1_",33,33,0,16
"2235","Alkalilimnicola_ehrlichii_MLHE-1_",33,33,0,16
"598","Alkaliphilus_metalliredigens_QYMF_",41,41,0,0
"2511","Alkaliphilus_metalliredigens_QYMF_",41,41,0,0
"1394","Allochromatium_vinosum_DSM_180_",26,26,0,36
"3307","Allochromatium_vinosum_DSM_180_",26,26,0,36
"375","Allokutzneria_albata_",0,0,0,18
"2288","Allokutzneria_albata_",0,0,0,18
"726","alpha_proteobacterium_BAL199_",3,3,0,23
"2639","alpha_proteobacterium_BAL199_",3,3,0,23
"1814","alpha_proteobacterium_HIMB59_",13,13,0,0
"3727","alpha_proteobacterium_HIMB59_",13,13,0,0
"275","Alteromonadales_bacterium_TW-7_",0,0,0,20
"2188","Alteromonadales_bacterium_TW-7_",0,0,0,20
"1458","Alteromonas_australica_",0,0,0,13
"3371","Alteromonas_australica_",0,0,0,13
"649","Alteromonas_macleodii_str._'Deep_ecotype'_",0,0,0,11
"2562","Alteromonas_macleodii_str._'Deep_ecotype'_",0,0,0,11
"1762","Alteromonas_sp._SN2_",0,0,0,15
"3675","Alteromonas_sp._SN2_",0,0,0,15
"1434","Aminomonas_paucivorans_DSM_12260_",30,30,0,0
"3347","Aminomonas_paucivorans_DSM_12260_",30,30,0,0
"999","Ammonifex_degensii_KC4_",117,117,0,15
"2912","Ammonifex_degensii_KC4_",117,117,0,15
"1714","Amphibacillus_xylanus_NBRC_15112_",28,28,0,29
"3627","Amphibacillus_xylanus_NBRC_15112_",28,28,0,29
"370","Amycolatopsis_japonica_",22,22,0,34
"2283","Amycolatopsis_japonica_",22,22,0,34
"1833","Amycolatopsis_mediterranei_U32_",21,33,0,14
"3746","Amycolatopsis_mediterranei_U32_",21,33,0,14
"569","Amycolatopsis_rifamycinica_",0,0,0,20
"2482","Amycolatopsis_rifamycinica_",0,0,0,20
"1028","Amycolicicoccus_subflavus_DQS3-9A1_",26,26,0,19
"2941","Amycolicicoccus_subflavus_DQS3-9A1_",26,26,0,19
"529","Anabaena_cylindrica_PCC_7122_",20,20,0,0
"2442","Anabaena_cylindrica_PCC_7122_",20,20,0,0
"118","Anabaena_sp._90_",41,28,0,0
"2031","Anabaena_sp._90_",41,28,0,0
"439","Anabaena_variabilis_ATCC_29413_",27,27,0,0
"2352","Anabaena_variabilis_ATCC_29413_",27,27,0,0
"1468","Anaerobaculum_hydrogeniformans_ATCC_BAA-1850_",33,33,0,0
"3381","Anaerobaculum_hydrogeniformans_ATCC_BAA-1850_",33,33,0,0
"1357","Anaerococcus_hydrogenalis_DSM_7454_",36,36,0,36
"3270","Anaerococcus_hydrogenalis_DSM_7454_",36,36,0,36
"1604","Anaerococcus_vaginalis_ATCC_51170_",66,66,38,38
"3517","Anaerococcus_vaginalis_ATCC_51170_",66,66,38,38
"1036","Anaerofustis_stercorihominis_DSM_17244_",17,17,0,17
"2949","Anaerofustis_stercorihominis_DSM_17244_",17,17,0,17
"579","Anaeromyxobacter_dehalogenans_2CP-C_",30,30,0,23
"2492","Anaeromyxobacter_dehalogenans_2CP-C_",30,30,0,23
"940","Anaeromyxobacter_sp._Fw109-5_",32,32,0,23
"2853","Anaeromyxobacter_sp._Fw109-5_",32,32,0,23
"1037","Anaerotruncus_colihominis_DSM_17241_",62,62,0,25
"2950","Anaerotruncus_colihominis_DSM_17241_",62,62,0,25
"1407","Anaplasma_centrale_str._Israel_",48,48,33,41
"3320","Anaplasma_centrale_str._Israel_",48,48,33,41
"690","Anaplasma_marginale_str._Florida_",50,50,34,42
"2603","Anaplasma_marginale_str._Florida_",50,50,34,42
"427","Anaplasma_marginale_str._St._Maries_",49,49,32,49
"2340","Anaplasma_marginale_str._St._Maries_",49,49,32,49
"378","Anaplasma_phagocytophilum_str._HZ_",43,43,43,65
"2291","Anaplasma_phagocytophilum_str._HZ_",43,43,43,65
"1594","Aneurinibacillus_aneurinilyticus_ATCC_12856_",31,31,0,31
"3507","Aneurinibacillus_aneurinilyticus_ATCC_12856_",31,31,0,31
"1157","Anoxybacillus_flavithermus_WK1_",103,143,78,96
"3070","Anoxybacillus_flavithermus_WK1_",103,143,78,96
"345","Anoxybacillus_gonensis_",27,27,0,27
"2258","Anoxybacillus_gonensis_",27,27,0,27
"176","Aquamicrobium_defluvii_",31,31,0,23
"2089","Aquamicrobium_defluvii_",31,31,0,23
"407","Aquifex_aeolicus_VF5_",63,88,43,43
"2320","Aquifex_aeolicus_VF5_",63,88,43,43
"1577","Arcanobacterium_haemolyticum_DSM_20595_",0,0,0,2
"3490","Arcanobacterium_haemolyticum_DSM_20595_",0,0,0,2
"811","Arcobacter_butzleri_RM4018_",119,119,53,94
"2724","Arcobacter_butzleri_RM4018_",119,119,53,94
"1396","Arcobacter_nitrofigilis_DSM_7299_",30,30,0,0
"3309","Arcobacter_nitrofigilis_DSM_7299_",30,30,0,0
"1504","Arenibacter_algicola_",46,46,0,5
"3417","Arenibacter_algicola_",46,46,0,5
"185","Aromatoleum_aromaticum_EbN1_",252,297,101,93
"2098","Aromatoleum_aromaticum_EbN1_",252,297,101,93
"578","Arthrobacter_aurescens_TC1_",0,0,0,15
"2491","Arthrobacter_aurescens_TC1_",0,0,0,15
"1060","Arthrobacter_chlorophenolicus_A6_",0,0,0,18
"2973","Arthrobacter_chlorophenolicus_A6_",0,0,0,18
"1481","Arthrobacter_sp._A3_",0,0,0,17
"3394","Arthrobacter_sp._A3_",0,0,0,17
"581","Arthrobacter_sp._FB24_",0,0,0,20
"2494","Arthrobacter_sp._FB24_",0,0,0,20
"1077","Arthrospira_platensis_C1_",23,23,0,0
"2990","Arthrospira_platensis_C1_",23,23,0,0
"1706","Arthrospira_platensis_NIES-39_",53,53,33,33
"3619","Arthrospira_platensis_NIES-39_",53,53,33,33
"1761","Asticcacaulis_biprosthecum_C19_",71,71,52,63
"3674","Asticcacaulis_biprosthecum_C19_",71,71,52,63
"144","Azoarcus_sp._BH72_",156,147,80,110
"2057","Azoarcus_sp._BH72_",156,147,80,110
"1825","Azoarcus_sp._KH32C_",251,262,0,8
"3738","Azoarcus_sp._KH32C_",251,262,0,8
"1014","Azorhizobium_caulinodans_ORS_571_",95,95,0,19
"2927","Azorhizobium_caulinodans_ORS_571_",95,95,0,19
"698","Azotobacter_vinelandii_DJ_",242,242,0,30
"2611","Azotobacter_vinelandii_DJ_",242,242,0,30
"711","Bacillus_amyloliquefaciens_subsp._plantarum_str._FZB42_",135,135,65,89
"2624","Bacillus_amyloliquefaciens_subsp._plantarum_str._FZB42_",135,135,65,89
"343","Bacillus_anthracis_str._Ames_",124,124,40,64
"2256","Bacillus_anthracis_str._Ames_",124,124,40,64
"486","Bacillus_anthracis_str._Sterne_",108,108,78,96
"2399","Bacillus_anthracis_str._Sterne_",108,108,78,96
"1775","Bacillus_atrophaeus_1942_",24,24,0,30
"3688","Bacillus_atrophaeus_1942_",24,24,0,30
"1592","Bacillus_cellulosilyticus_DSM_2522_",27,27,0,31
"3505","Bacillus_cellulosilyticus_DSM_2522_",27,27,0,31
"32","Bacillus_cereus_",45,45,0,0
"1945","Bacillus_cereus_",45,45,0,0
"155","Bacillus_clausii_KSM-K16_",121,121,66,66
"2068","Bacillus_clausii_KSM-K16_",121,121,66,66
"753","Bacillus_coagulans_36D1_",20,20,0,29
"2666","Bacillus_coagulans_36D1_",20,20,0,29
"662","Bacillus_cytotoxicus_NVH_391-98_",21,21,0,23
"2575","Bacillus_cytotoxicus_NVH_391-98_",21,21,0,23
"1405","Bacillus_gaemokensis_",22,22,0,20
"3318","Bacillus_gaemokensis_",22,22,0,20
"557","Bacillus_licheniformis_DSM_13_=_ATCC_14580_",68,68,0,0
"2470","Bacillus_licheniformis_DSM_13_=_ATCC_14580_",68,68,0,0
"1406","Bacillus_manliponensis_",27,27,0,23
"3319","Bacillus_manliponensis_",27,27,0,23
"1290","Bacillus_megaterium_QM_B1551_",85,85,5,50
"3203","Bacillus_megaterium_QM_B1551_",85,85,5,50
"1905","Bacillus_methanolicus_MGA3_",109,109,62,83
"3818","Bacillus_methanolicus_MGA3_",109,109,62,83
"33","Bacillus_mycoides_",29,29,0,0
"1946","Bacillus_mycoides_",29,29,0,0
"728","Bacillus_okhensis_",0,134,0,24
"2641","Bacillus_okhensis_",0,134,0,24
"916","Bacillus_pseudofirmus_OF4_",64,133,0,29
"2829","Bacillus_pseudofirmus_OF4_",64,133,0,29
"663","Bacillus_pumilus_SAFR-032_",150,155,79,110
"2576","Bacillus_pumilus_SAFR-032_",150,155,79,110
"1634","Bacillus_smithii_7_3_47FAA_",18,18,0,31
"3547","Bacillus_smithii_7_3_47FAA_",18,18,0,31
"1641","Bacillus_sp._1NLA3E_",47,47,0,27
"3554","Bacillus_sp._1NLA3E_",47,47,0,27
"1636","Bacillus_sp._2_A_57_CT2_",29,29,0,32
"3549","Bacillus_sp._2_A_57_CT2_",29,29,0,32
"406","Bacillus_subtilis_subsp._subtilis_str._168_",172,172,0,0
"2319","Bacillus_subtilis_subsp._subtilis_str._168_",172,172,0,0
"97","Bacillus_thermoamylovorans_",120,120,62,90
"2010","Bacillus_thermoamylovorans_",120,120,62,90
"389","Bacillus_vietnamensis_",0,0,0,20
"2302","Bacillus_vietnamensis_",0,0,0,20
"661","Bacillus_weihenstephanensis_KBAB4_",29,29,0,20
"2574","Bacillus_weihenstephanensis_KBAB4_",29,29,0,20
"970","Bacteroides_caccae_ATCC_43185_",0,0,0,10
"2883","Bacteroides_caccae_ATCC_43185_",0,0,0,10
"1105","Bacteroides_coprocola_DSM_17136_",0,0,0,12
"3018","Bacteroides_coprocola_DSM_17136_",0,0,0,12
"1307","Bacteroides_coprophilus_DSM_18228_=_JCM_13818_",39,39,39,11
"3220","Bacteroides_coprophilus_DSM_18228_=_JCM_13818_",39,39,39,11
"1138","Bacteroides_eggerthii_DSM_20697_",0,0,0,11
"3051","Bacteroides_eggerthii_DSM_20697_",0,0,0,11
"1137","Bacteroides_finegoldii_DSM_17565_",0,0,0,13
"3050","Bacteroides_finegoldii_DSM_17565_",0,0,0,13
"1070","Bacteroides_fragilis_3_1_12_",0,0,5,13
"2983","Bacteroides_fragilis_3_1_12_",0,0,5,13
"532","Bacteroides_fragilis_NCTC_9343_",151,157,101,92
"2445","Bacteroides_fragilis_NCTC_9343_",151,157,101,92
"1113","Bacteroides_intestinalis_DSM_17393_",0,0,0,9
"3026","Bacteroides_intestinalis_DSM_17393_",0,0,0,9
"963","Bacteroides_ovatus_ATCC_8483_",51,101,39,18
"2876","Bacteroides_ovatus_ATCC_8483_",51,101,39,18
"1141","Bacteroides_plebeius_DSM_17135_",0,0,0,10
"3054","Bacteroides_plebeius_DSM_17135_",0,0,0,10
"1451","Bacteroides_sp._D20_",35,35,35,7
"3364","Bacteroides_sp._D20_",35,35,35,7
"1051","Bacteroides_stercoris_ATCC_43183_",0,0,0,8
"2964","Bacteroides_stercoris_ATCC_43183_",0,0,0,8
"413","Bacteroides_thetaiotaomicron_VPI-5482_",34,34,34,34
"2326","Bacteroides_thetaiotaomicron_VPI-5482_",34,34,34,34
"965","Bacteroides_uniformis_ATCC_8492_",0,0,0,10
"2878","Bacteroides_uniformis_ATCC_8492_",0,0,0,10
"792","Bartonella_bacilliformis_KC583_",62,62,40,51
"2705","Bartonella_bacilliformis_KC583_",62,62,40,51
"1703","Bartonella_clarridgeiae_73_",57,57,37,49
"3616","Bartonella_clarridgeiae_73_",57,57,37,49
"1537","Bartonella_grahamii_as4aup_",54,54,0,18
"3450","Bartonella_grahamii_as4aup_",54,54,0,18
"563","Bartonella_henselae_str._Houston-1_",29,29,8,25
"2476","Bartonella_henselae_str._Houston-1_",29,29,8,25
"562","Bartonella_quintana_str._Toulouse_",59,59,38,52
"2475","Bartonella_quintana_str._Toulouse_",59,59,38,52
"1684","Bartonella_rochalimae_ATCC_BAA-1498_",55,55,32,42
"3597","Bartonella_rochalimae_ATCC_BAA-1498_",55,55,32,42
"839","Bartonella_tribocorum_CIP_105476_",18,18,8,34
"2752","Bartonella_tribocorum_CIP_105476_",18,18,8,34
"501","Bdellovibrio_bacteriovorus_HD100_",118,149,81,81
"2414","Bdellovibrio_bacteriovorus_HD100_",118,149,81,81
"899","Beggiatoa_alba_B18LD_",24,24,0,0
"2812","Beggiatoa_alba_B18LD_",24,24,0,0
"903","Beijerinckia_indica_subsp._indica_ATCC_9039_",26,26,0,16
"2816","Beijerinckia_indica_subsp._indica_ATCC_9039_",26,26,0,16
"1286","beta_proteobacterium_CB_",28,22,0,23
"3199","beta_proteobacterium_CB_",28,22,0,23
"657","beta_proteobacterium_KB13_",0,0,0,45
"2570","beta_proteobacterium_KB13_",0,0,0,45
"1108","Beutenbergia_cavernae_DSM_12333_",0,0,0,16
"3021","Beutenbergia_cavernae_DSM_12333_",0,0,0,16
"37","Bifidobacterium_adolescentis_",9,12,0,6
"1950","Bifidobacterium_adolescentis_",9,12,0,6
"1207","Bifidobacterium_angulatum_DSM_20098_=_JCM_7096_",0,0,0,14
"3120","Bifidobacterium_angulatum_DSM_20098_=_JCM_7096_",0,0,0,14
"918","Bifidobacterium_bifidum_NCIMB_41171_",0,0,0,15
"2831","Bifidobacterium_bifidum_NCIMB_41171_",0,0,0,15
"1732","Bifidobacterium_bifidum_PRL2010_",29,29,29,39
"3645","Bifidobacterium_bifidum_PRL2010_",29,29,29,39
"714","Bifidobacterium_breve_UCC2003_",21,21,21,34
"2627","Bifidobacterium_breve_UCC2003_",21,21,21,34
"1382","Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_",0,0,0,8
"3295","Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_",0,0,0,8
"96","Bifidobacterium_choerinum_",0,0,0,11
"2009","Bifidobacterium_choerinum_",0,0,0,11
"38","Bifidobacterium_coryneforme_",0,0,0,19
"1951","Bifidobacterium_coryneforme_",0,0,0,19
"932","Bifidobacterium_dentium_Bd1_",22,22,0,11
"2845","Bifidobacterium_dentium_Bd1_",22,22,0,11
"1358","Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_",0,0,0,17
"3271","Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_",0,0,0,17
"190","Bifidobacterium_gallinarum_",0,0,0,15
"2103","Bifidobacterium_gallinarum_",0,0,0,15
"387","Bifidobacterium_longum_",0,0,0,10
"2300","Bifidobacterium_longum_",0,0,0,10
"41","Bifidobacterium_magnum_",0,0,0,11
"1954","Bifidobacterium_magnum_",0,0,0,11
"191","Bifidobacterium_merycicum_",0,0,0,10
"2104","Bifidobacterium_merycicum_",0,0,0,10
"42","Bifidobacterium_minimum_",0,0,0,18
"1955","Bifidobacterium_minimum_",0,0,0,18
"1308","Bifidobacterium_pseudocatenulatum_DSM_20438_=_JCM_1200_=_LMG_10505_",0,0,0,9
"3221","Bifidobacterium_pseudocatenulatum_DSM_20438_=_JCM_1200_=_LMG_10505_",0,0,0,9
"40","Bifidobacterium_pseudolongum_subsp._globosum_",0,0,0,12
"1953","Bifidobacterium_pseudolongum_subsp._globosum_",0,0,0,12
"82","Bifidobacterium_pseudolongum_subsp._pseudolongum_",0,0,0,11
"1995","Bifidobacterium_pseudolongum_subsp._pseudolongum_",0,0,0,11
"388","Bifidobacterium_psychraerophilum_",0,0,0,19
"2301","Bifidobacterium_psychraerophilum_",0,0,0,19
"192","Bifidobacterium_ruminantium_",0,0,0,9
"2105","Bifidobacterium_ruminantium_",0,0,0,9
"282","Bifidobacterium_scardovii_",0,0,0,12
"2195","Bifidobacterium_scardovii_",0,0,0,12
"1861","Bifidobacterium_stellenboschense_",0,0,0,11
"3774","Bifidobacterium_stellenboschense_",0,0,0,11
"188","Bifidobacterium_subtile_",0,0,0,15
"2101","Bifidobacterium_subtile_",0,0,0,15
"781","Bifidobacterium_tsurumiense_",0,0,0,11
"2694","Bifidobacterium_tsurumiense_",0,0,0,11
"1373","Bilophila_wadsworthia_3_1_6_",0,0,0,19
"3286","Bilophila_wadsworthia_3_1_6_",0,0,0,19
"1276","Blautia_hansenii_DSM_20583_",12,12,0,12
"3189","Blautia_hansenii_DSM_20583_",12,12,0,12
"1119","Blautia_hydrogenotrophica_DSM_10507_",0,0,0,18
"3032","Blautia_hydrogenotrophica_DSM_10507_",0,0,0,18
"796","Bordetella_avium_197N_",104,104,65,93
"2709","Bordetella_avium_197N_",104,104,65,93
"478","Bordetella_bronchiseptica_RB50_",192,192,76,119
"2391","Bordetella_bronchiseptica_RB50_",192,192,76,119
"1384","Bordetella_pertussis_18323_",155,155,74,103
"3297","Bordetella_pertussis_18323_",155,155,74,103
